,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Yangon, Myanmar (Burma)",ChIJaxk-Ip6UwTARtAsI-HHS-1Y,Yangon,16.8660694,96.19513200000002,1,,OK,"locality,political"
1,APPROXIMATE,"Naypyitaw, Myanmar (Burma)",ChIJwRfx4-S-yDAR2k7CyVCrkNA,Naypyitaw,19.7633057,96.07851040000001,1,,OK,"locality,political"
2,APPROXIMATE,"Mandalay, Myanmar (Burma)",ChIJEXTS8CNtyzARRlZOHuBrFCQ,Mandalay,21.9588282,96.0891032,1,,OK,"locality,political"
3,APPROXIMATE,"Old Bagan, Myanmar (Burma)",ChIJYcrYkwPltTARgZnowxdHGjc,Bagan,21.1717271,94.8585458,1,,OK,"locality,political"
4,APPROXIMATE,"Ngwesaung, Myanmar (Burma)",ChIJA9mBalE1vjARIlByyAm6xHE,Ngwesaung,16.8685083,94.3847814,1,,OK,"locality,political"
5,APPROXIMATE,"Ngapali Beach, Myanmar (Burma)",ChIJO5i4IUwZuTARHYI-4nzE_fQ,Ngapali,18.3802687,94.33564249999999,1,,OK,"establishment,natural_feature"
6,APPROXIMATE,"Pyay, Myanmar (Burma)",ChIJdYENe1GDxzARjmS4gGRc8Ls,Pyay,18.8406029,95.2579968,1,,OK,"locality,political"
7,APPROXIMATE,"Bago, Myanmar (Burma)",ChIJQ-kIR7nWwzARMm8-jfl6q2U,Bago,17.3220711,96.4663286,1,,OK,"locality,political"
8,APPROXIMATE,"Bangkok, Thailand",ChIJ82ENKDJgHTERIEjiXbIAAQE,Bangkok,13.7563309,100.5017651,1,,OK,"locality,political"
9,APPROXIMATE,"Ko Samui, Ko Samui District, Surat Thani, Thailand",ChIJbyZmHFDxVDARMIN9Pb1a1e0,Koh Samui,9.5120168,100.0135929,1,,OK,"establishment,natural_feature"
10,APPROXIMATE,Singapore,ChIJdZOLiiMR2jERxPWrUs9peIg,Singapore,1.352083,103.819836,1,,OK,"country,political"
11,APPROXIMATE,"Seoul, South Korea",ChIJzWXFYYuifDUR64Pq5LTtioU,Seoul,37.566535,126.9779692,1,,OK,"locality,political"
12,APPROXIMATE,"Arcadia, CA, USA",ChIJK8q408XbwoARiymu0ttQqEw,Arcadia California,34.1397292,-118.0353449,1,,OK,"locality,political"
